epoch,loss,lr,val_loss
0,2.9632640361785887,0.001,2.7758307456970215
1,2.9285829967922634,0.001,2.7405447959899902
2,2.8904756440056696,0.001,2.7054951190948486
3,2.8535053941938613,0.001,2.6709132194519043
4,2.8164416048261853,0.001,2.636474847793579
5,2.7798818535274927,0.001,2.6021409034729004
6,2.7433815744188097,0.001,2.5679335594177246
7,2.707018608517117,0.001,2.5341670513153076
8,2.6711948023902043,0.001,2.5005335807800293
9,2.63588645723131,0.001,2.467041492462158
10,2.6006057898203534,0.001,2.4339306354522705
11,2.5652521557278103,0.001,2.40134334564209
12,2.5305667400360106,0.001,2.369051456451416
13,2.496671263376872,0.001,2.3370184898376465
14,2.4630412737528484,0.001,2.305091381072998
15,2.42925755182902,0.001,2.2734947204589844
16,2.395607609219021,0.001,2.2421715259552
17,2.3624292691548665,0.001,2.211081027984619
18,2.329739480548435,0.001,2.180217981338501
19,2.2974288198682995,0.001,2.149815320968628
20,2.264985598458184,0.001,2.119555711746216
21,2.233291016684638,0.001,2.0895187854766846
22,2.2012472576565214,0.001,2.0597667694091797
23,2.169863229327732,0.001,2.030036449432373
24,2.1385818163553876,0.001,2.0002787113189697
25,2.107310162650214,0.001,1.9706299304962158
26,2.076657459470961,0.001,1.941274881362915
27,2.0461709923214384,0.001,1.9122836589813232
28,2.01604409482744,0.001,1.8834388256072998
29,1.9855082988739015,0.001,1.8548415899276733
30,1.9556378576490614,0.001,1.8265037536621094
31,1.9259721861945258,0.001,1.7983787059783936
32,1.8965954966015286,0.001,1.770503282546997
33,1.8665824625227185,0.001,1.7428789138793945
34,1.8376255538728503,0.001,1.7153656482696533
35,1.8088139984342786,0.001,1.6879380941390991
36,1.7796810494528876,0.001,1.6606976985931396
37,1.7512425899505615,0.001,1.63363516330719
38,1.7223129007551405,0.001,1.60683274269104
39,1.694032409456041,0.001,1.5802733898162842
40,1.6660218450758193,0.001,1.5539017915725708
41,1.638366895251804,0.001,1.5276014804840088
42,1.6105070220099555,0.001,1.5017197132110596
43,1.5834604952070448,0.001,1.476012945175171
44,1.5560613022910224,0.001,1.4506609439849854
45,1.5294695138931274,0.001,1.4255412817001343
46,1.5025665203730265,0.001,1.400599718093872
47,1.4765106545554267,0.001,1.37590754032135
48,1.450584316253662,0.001,1.3515022993087769
49,1.4248154083887736,0.001,1.3273686170578003
50,1.3999497731526693,0.001,1.3033723831176758
51,1.3745242516199747,0.001,1.2798001766204834
52,1.3498310062620376,0.001,1.2563793659210205
53,1.3253018723593817,0.001,1.2332024574279785
54,1.3012338426378038,0.001,1.2102569341659546
55,1.2771100918451945,0.001,1.18753981590271
56,1.2535461982091267,0.001,1.1650822162628174
57,1.2300191084543863,0.001,1.1429417133331299
58,1.2068973965115017,0.001,1.1211369037628174
59,1.1836968978246054,0.001,1.0995532274246216
60,1.161256922615899,0.001,1.0781673192977905
61,1.1389499187469483,0.001,1.05707585811615
62,1.117086152235667,0.001,1.0362136363983154
63,1.0948439810011121,0.001,1.0157325267791748
64,1.0734403477774725,0.001,0.9953827857971191
65,1.0528039945496452,0.001,0.975246787071228
66,1.0317128896713257,0.001,0.9554828405380249
67,1.011110610432095,0.001,0.9359117746353149
68,0.9906648476918538,0.001,0.9165854454040527
69,0.9705101569493612,0.001,0.8975103497505188
70,0.9505812366803487,0.001,0.8786588907241821
71,0.930868395169576,0.001,0.8600552678108215
72,0.9117259952757094,0.001,0.8416902422904968
73,0.8926351838641696,0.001,0.8236058950424194
74,0.8737593346171909,0.001,0.8057562112808228
75,0.8551693002382914,0.001,0.788054883480072
76,0.8372476935386658,0.001,0.7706073522567749
77,0.8187036792437236,0.001,0.7534703612327576
78,0.8010660145017836,0.001,0.7365162968635559
79,0.7835384753015306,0.001,0.7198480367660522
80,0.7661865724457635,0.001,0.703457236289978
81,0.7491614500681559,0.001,0.6873446702957153
82,0.7323437213897706,0.001,0.6714680790901184
83,0.7155507180425856,0.001,0.655842661857605
84,0.699424057536655,0.001,0.6403687596321106
85,0.683287705315484,0.001,0.625165581703186
86,0.6671662065717909,0.001,0.6101624369621277
87,0.6516406443383959,0.001,0.5952836871147156
88,0.6361859811676873,0.001,0.5806064009666443
89,0.6208842237790425,0.001,0.5661919713020325
90,0.6056914488474529,0.001,0.5519932508468628
91,0.5910532977845934,0.001,0.5379968881607056
92,0.5762588500976562,0.001,0.5242443084716797
93,0.5619039283858405,0.001,0.5107101202011108
94,0.5477488292588129,0.001,0.4973772466182709
95,0.5338757157325744,0.001,0.484297513961792
96,0.5201070388158162,0.001,0.4714594781398773
97,0.5066550824377272,0.001,0.45886459946632385
98,0.49356727931234573,0.001,0.4465048909187317
99,0.48053258061409,0.001,0.4344039857387543
100,0.46790679494539894,0.001,0.42253175377845764
101,0.45545890198813543,0.001,0.41091638803482056
102,0.44314609832233853,0.001,0.39952322840690613
103,0.43111438353856407,0.001,0.3883308470249176
104,0.4193100187513563,0.001,0.3773342967033386
105,0.4078823963801066,0.001,0.36653751134872437
106,0.3962986840142144,0.001,0.35597658157348633
107,0.3851782686180539,0.001,0.34558504819869995
108,0.37425040933820936,0.001,0.3354009687900543
109,0.36349850826793245,0.001,0.3254193663597107
110,0.3528089072969225,0.001,0.31564411520957947
111,0.3426377773284912,0.001,0.3060494065284729
112,0.3324673136075338,0.001,0.2966826558113098
113,0.322368641032113,0.001,0.2875315845012665
114,0.31279185480541655,0.001,0.2785446047782898
115,0.30336589680777654,0.001,0.26976722478866577
116,0.2940520637565189,0.001,0.26122695207595825
117,0.2847522874673208,0.001,0.2528945803642273
118,0.2759859826829698,0.001,0.2447190284729004
119,0.26727950970331826,0.001,0.23670510947704315
120,0.25867731836107044,0.001,0.22887083888053894
121,0.25043321980370414,0.001,0.22119705379009247
122,0.24222675296995375,0.001,0.21372106671333313
123,0.2342871308326721,0.001,0.2064404934644699
124,0.22653667595651414,0.001,0.19935765862464905
125,0.21904505259460874,0.001,0.1924675852060318
126,0.21167511807547676,0.001,0.18580184876918793
127,0.2045850435892741,0.001,0.17933157086372375
128,0.19762921763790978,0.001,0.17307165265083313
129,0.19100982679261103,0.001,0.16698744893074036
130,0.18434747060139975,0.001,0.16110393404960632
131,0.1781463517083062,0.001,0.15537190437316895
132,0.17191672325134277,0.001,0.14981380105018616
133,0.16586907241079543,0.001,0.14439356327056885
134,0.16009214089976417,0.001,0.1390983909368515
135,0.15449138151274788,0.001,0.13395991921424866
136,0.14894809822241464,0.001,0.12898454070091248
137,0.1434995879729589,0.001,0.12417308241128922
138,0.13826535046100616,0.001,0.11949235200881958
139,0.133204518755277,0.001,0.11493539810180664
140,0.12821466028690337,0.001,0.11049826443195343
141,0.12357651442289352,0.001,0.10617958009243011
142,0.11876951456069947,0.001,0.10202409327030182
